Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Zeeshan Maqsood (OMA),2024-2024,4,4,-,27,22,6.75,36,75.00,-,-,-,4,0
J Miyagi (UGA),2024-2024,3,3,1,26,13*,13.00,37,70.27,-,-,1,0,0
MJ Santner (NZ),2024-2024,4,2,1,25,21*,25.00,20,125.00,-,-,-,0,3
A Dutt (NED),2024-2024,2,2,1,25,15*,25.00,20,125.00,-,-,-,2,1
LV van Beek (NED),2024-2024,4,3,-,25,23,8.33,26,96.15,-,-,1,3,0
Pargat Singh (CAN),2024-2024,3,3,-,25,18,8.33,27,92.59,-,-,-,2,0
Shakeel Ahmed (OMA),2024-2024,3,3,1,25,11,12.50,21,119.04,-,-,-,3,0
H Hiri (PNG),2024-2024,4,4,-,25,15,6.25,39,64.10,-,-,-,3,0
K Bhurtel (NEP),2024-2024,3,3,-,24,13,8.00,39,61.53,-,-,-,3,1
CA Soper (PNG),2024-2024,4,4,-,24,10,6.00,52,46.15,-,-,-,1,0
Milind Kumar (USA),2024-2024,2,2,-,23,19,11.50,27,85.18,-,-,-,1,0
Iftikhar Ahmed (PAK),2024-2024,2,2,-,23,18,11.50,23,100.00,-,-,-,3,0
Saim Ayub (PAK),2024-2024,2,2,-,23,17,11.50,29,79.31,-,-,-,2,1
C Campher (IRE),2024-2024,3,3,-,23,12,7.66,29,79.31,-,-,-,2,1
R Shepherd (WI),2024-2024,4,3,2,23,13,23.00,25,92.00,-,-,-,1,1
JC Archer (ENG),2024-2024,8,2,1,22,21,22.00,17,129.41,-,-,-,1,2
A Balbirnie (IRE),2024-2024,3,3,-,22,17,7.33,32,68.75,-,-,1,2,0
LJ Tucker (IRE),2024-2024,3,3,-,22,10,7.33,30,73.33,-,-,-,2,0
Najibullah Zadran (AFG),2024-2024,5,4,1,22,19,7.33,23,95.65,-,-,1,0,2
JJ Smit (NAM),2024-2024,4,4,1,22,11,7.33,30,73.33,-,-,-,1,1
AJ Hosein (WI),2024-2024,7,2,-,21,15,10.50,28,75.00,-,-,-,1,1
A Nao (PNG),2024-2024,4,4,-,21,13,5.25,32,65.62,-,-,1,2,0
R Obuya (UGA),2024-2024,4,4,-,21,14,5.25,36,58.33,-,-,1,1,1
PW Hasaranga (SL),2024-2024,3,3,1,20,20*,10.00,9,222.22,-,-,2,1,2
Gulsan Jha (NEP),2024-2024,3,3,-,20,14,6.66,25,80.00,-,-,1,1,1
BFW de Leede (NED),2024-2024,4,4,1,20,11*,6.66,33,60.60,-,-,1,1,0
Usman Khan (PAK),2024-2024,4,4,1,20,13,6.66,22,90.90,-,-,-,1,0
Imad Wasim (PAK),2024-2024,3,2,-,19,15,9.50,29,65.51,-,-,-,2,0
N Vanua (PNG),2024-2024,3,3,-,19,14,6.33,30,63.33,-,-,1,1,1
K Waiswa (UGA),2024-2024,3,3,1,19,11,9.50,44,43.18,-,-,-,2,0
DS Bajwa (CAN),2024-2024,2,2,-,18,11,9.00,14,128.57,-,-,-,2,1
Karan KC (NEP),2024-2024,2,1,-,17,17,17.00,12,141.66,-,-,-,0,2
Abbas Afridi (PAK),2024-2024,1,1,-,17,17,17.00,21,80.95,-,-,-,1,1
